,Unnamed: 0,support,itemsets,encoding
0,0,0.803063119,add,0
1,1,0.642481436,heat,227
2,2,0.619894802,salt,287
3,3,0.568842822,cook,150
4,4,0.494585396,stir,308
5,5,0.351794554,cover,186
6,6,0.3125,bowl,116
7,7,0.304455446,boil,111
8,8,0.303991337,remove,285
9,9,0.295173267,simmer,301
